from_taskid,from_file,from_state,from_ts,to_taskid,to_file,to_state,to_ts,between_count,action_state_counts,workReport_states,update_progress,releaseFilm_get_count,releaseFilm_first,releaseFilm_last,monitor_taskids,autoOperation_taskids,signal_strength
87153347,B3_B4.pwsz,finished,2026-04-21T18:15:25.555,87212137,B5.pwsz,printing,2026-04-21T19:42:01.338,345,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 169}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 169}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 3}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 2}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""free"": 169, ""busy"": 2}","[{""taskid"": ""87212137"", ""progress"": 0}, {""taskid"": ""87212137"", ""progress"": 45}, {""taskid"": ""87212137"", ""progress"": 100}]",169,"{""status"": 0, ""times"": 36, ""layers"": 39494}","{""status"": 0, ""times"": 37, ""layers"": 41471}","[""87212137""]",[],[]
87212137,B5.pwsz,printing,2026-04-21T19:42:01.338,87344227,B6-B7-B8.pwsz,printing,2026-04-22T11:56:34.600,79,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 32}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 32}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 4}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 2}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 2}, {""action"": ""getSignalStrength"", ""type"": ""wifi"", ""state"": ""done"", ""count"": 1}, {""action"": ""autoOperation"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""onlineReport"", ""type"": ""lastWill"", ""state"": ""online"", ""count"": 1}, {""action"": ""reportVersion"", ""type"": ""ota"", ""state"": ""report-success"", ""count"": 1}, {""action"": ""bindQuery"", ""type"": ""user"", ""state"": ""done"", ""count"": 1}, {""action"": ""cloudRecommendList"", ""type"": ""file"", ""state"": ""done"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""busy"": 4, ""free"": 32}","[{""taskid"": ""87344227"", ""progress"": 0}, {""taskid"": ""87344227"", ""progress"": 100}]",32,"{""status"": 0, ""times"": 38, ""layers"": 42411}","{""status"": 0, ""times"": 38, ""layers"": 42411}","[""87212137"", ""87344227""]","[""87212137""]",[49]
87344227,B6-B7-B8.pwsz,printing,2026-04-22T12:14:31.633,87363999,C1.pwsz,printing,2026-04-22T13:59:39.787,23,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 8}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 8}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 3}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 2}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""free"": 8, ""busy"": 2}","[{""taskid"": ""87363999"", ""progress"": 0}, {""taskid"": ""87363999"", ""progress"": 66}, {""taskid"": ""87363999"", ""progress"": 100}]",8,"{""status"": 0, ""times"": 39, ""layers"": 42856}","{""status"": 0, ""times"": 39, ""layers"": 42856}","[""87363999""]",[],[]
87363999,C1.pwsz,finished,2026-04-22T15:07:12.893,87391271,C2-C3-C4-C5-C7.pwsz,printing,2026-04-22T16:19:51.146,297,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 145}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 145}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 3}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 2}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""busy"": 2, ""free"": 145}","[{""taskid"": ""87391271"", ""progress"": 0}, {""taskid"": ""87391271"", ""progress"": 78}, {""taskid"": ""87391271"", ""progress"": 100}]",145,"{""status"": 0, ""times"": 40, ""layers"": 43666}","{""status"": 0, ""times"": 40, ""layers"": 43666}","[""87391271""]",[],[]
87391271,C2-C3-C4-C5-C7.pwsz,finished,2026-04-22T17:31:57.001,87423285,C6.pwsz,printing,2026-04-22T18:37:14.415,268,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 131}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 131}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 3}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 1}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""free"": 131, ""busy"": 1}","[{""taskid"": ""87423285"", ""progress"": 0}, {""taskid"": ""87423285"", ""progress"": 35}, {""taskid"": ""87423285"", ""progress"": 100}]",131,"{""status"": 0, ""times"": 40, ""layers"": 43666}","{""status"": 0, ""times"": 41, ""layers"": 44545}","[""87423285""]",[],[]
87423285,C6.pwsz,finished,2026-04-22T20:22:59.989,87454686,D1-D2-D3-D5-D7.pwsz,printing,2026-04-22T20:51:05.692,119,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 57}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 57}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 2}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 1}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""free"": 57, ""busy"": 1}","[{""taskid"": ""87454686"", ""progress"": 0}, {""taskid"": ""87454686"", ""progress"": 100}]",57,"{""status"": 0, ""times"": 41, ""layers"": 44545}","{""status"": 0, ""times"": 42, ""layers"": 46010}","[""87454686""]",[],[]
87454686,D1-D2-D3-D5-D7.pwsz,finished,2026-04-22T21:39:04.792,87469595,D6.pwsz,printing,2026-04-22T22:02:10.947,101,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 46}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 46}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 4}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 3}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""busy"": 3, ""free"": 46}","[{""taskid"": ""87469595"", ""progress"": 0}, {""taskid"": ""87469595"", ""progress"": 23}, {""taskid"": ""87469595"", ""progress"": 67}, {""taskid"": ""87469595"", ""progress"": 100}]",46,"{""status"": 0, ""times"": 42, ""layers"": 46010}","{""status"": 0, ""times"": 43, ""layers"": 46498}","[""87469595""]",[],[]
87469595,D6.pwsz,finished,2026-04-22T23:38:51.448,87570661,D5-D4-C1.pwsz,printing,2026-04-23T12:00:20.510,123,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 56}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 55}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 3}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 2}, {""action"": ""onlineReport"", ""type"": ""lastWill"", ""state"": ""offline"", ""count"": 1}, {""action"": ""onlineReport"", ""type"": ""lastWill"", ""state"": ""online"", ""count"": 1}, {""action"": ""reportVersion"", ""type"": ""ota"", ""state"": ""report-success"", ""count"": 1}, {""action"": ""bindQuery"", ""type"": ""user"", ""state"": ""done"", ""count"": 1}, {""action"": ""cloudRecommendList"", ""type"": ""file"", ""state"": ""done"", ""count"": 1}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""free"": 56, ""busy"": 2}","[{""taskid"": ""87570661"", ""progress"": 0}, {""taskid"": ""87570661"", ""progress"": 59}, {""taskid"": ""87570661"", ""progress"": 100}]",55,"{""status"": 0, ""times"": 43, ""layers"": 46498}","{""status"": 0, ""times"": 44, ""layers"": 0}","[""87570661""]",[],[]
87570661,D5-D4-C1.pwsz,printing,2026-04-23T13:28:41.922,87591225,D6.pwsz,printing,2026-04-23T14:04:23.884,146,"[{""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 69}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 68}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 4}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 3}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""free"": 68, ""busy"": 3}","[{""taskid"": ""87591225"", ""progress"": 0}, {""taskid"": ""87591225"", ""progress"": 17}, {""taskid"": ""87591225"", ""progress"": 56}, {""taskid"": ""87591225"", ""progress"": 100}]",69,"{""status"": 0, ""times"": 45, ""layers"": 1210}","{""status"": 0, ""times"": 45, ""layers"": 1210}","[""87591225""]",[],[]
87591225,D6.pwsz,printing,2026-04-23T16:08:47.547,87630035,E1-E2-E3-E5-E6.pwsz,printing,2026-04-23T17:13:33.489,9,"[{""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 3}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 2}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 1}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 1}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""free"": 1, ""busy"": 2}","[{""taskid"": ""87630035"", ""progress"": 0}, {""taskid"": ""87630035"", ""progress"": 94}, {""taskid"": ""87630035"", ""progress"": 100}]",1,"{""status"": 0, ""times"": 46, ""layers"": 3460}","{""status"": 0, ""times"": 46, ""layers"": 3460}","[""87630035""]",[],[]
87630035,E1-E2-E3-E5-E6.pwsz,finished,2026-04-23T18:01:02.790,87649848,E4-E7.pwsz,printing,2026-04-23T18:36:33.142,154,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 72}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 72}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 5}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 3}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""busy"": 3, ""free"": 72}","[{""taskid"": ""87649848"", ""progress"": 0}, {""taskid"": ""87649848"", ""progress"": 13}, {""taskid"": ""87649848"", ""progress"": 49}, {""taskid"": ""87649848"", ""progress"": 86}, {""taskid"": ""87649848"", ""progress"": 100}]",72,"{""status"": 0, ""times"": 46, ""layers"": 3460}","{""status"": 0, ""times"": 47, ""layers"": 3955}","[""87649848""]",[],[]
87649848,E4-E7.pwsz,finished,2026-04-23T20:52:04.157,87793966,A1-v2.pwsz,printing,2026-04-24T11:29:40.999,660,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 324}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 324}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 6}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 4}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""busy"": 4, ""free"": 324}","[{""taskid"": ""87793966"", ""progress"": 0}, {""taskid"": ""87793966"", ""progress"": 12}, {""taskid"": ""87793966"", ""progress"": 35}, {""taskid"": ""87793966"", ""progress"": 56}, {""taskid"": ""87793966"", ""progress"": 77}, {""taskid"": ""87793966"", ""progress"": 100}]",324,"{""status"": 0, ""times"": 47, ""layers"": 3955}","{""status"": 0, ""times"": 48, ""layers"": 5946}","[""87793966""]",[],[]
87793966,A1-v2.pwsz,finished,2026-04-24T14:35:22.087,88747018,B1-B2-B5.pwsz,printing,2026-04-28T16:05:54.724,208,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 99}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 99}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 5}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 3}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""free"": 99, ""busy"": 3}","[{""taskid"": ""88747018"", ""progress"": 0}, {""taskid"": ""88747018"", ""progress"": 12}, {""taskid"": ""88747018"", ""progress"": 42}, {""taskid"": ""88747018"", ""progress"": 72}, {""taskid"": ""88747018"", ""progress"": 100}]",99,"{""status"": 0, ""times"": 48, ""layers"": 5946}","{""status"": 0, ""times"": 52, ""layers"": 15543}","[""88747018""]",[],[]
88747018,B1-B2-B5.pwsz,printing,2026-04-28T16:31:24.717,88790862,B3-B4-B6-B8-C7-D1-D2-D7-E2-E6.pwsz,printing,2026-04-28T19:19:23.933,13,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 3}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 3}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 3}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 2}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""free"": 3, ""busy"": 2}","[{""taskid"": ""88790862"", ""progress"": 0}, {""taskid"": ""88790862"", ""progress"": 42}, {""taskid"": ""88790862"", ""progress"": 100}]",3,"{""status"": 0, ""times"": 53, ""layers"": 16625}","{""status"": 0, ""times"": 53, ""layers"": 16625}","[""88790862""]",[],[]
88790862,B3-B4-B6-B8-C7-D1-D2-D7-E2-E6.pwsz,finished,2026-04-28T22:00:37.907,88925268,B5-v2.pwsz,printing,2026-04-29T11:35:39.756,63,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 24}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 24}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 3}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 3}, {""action"": ""move"", ""type"": ""axis"", ""state"": ""done"", ""count"": 2}, {""action"": ""onlineReport"", ""type"": ""lastWill"", ""state"": ""offline"", ""count"": 1}, {""action"": ""onlineReport"", ""type"": ""lastWill"", ""state"": ""online"", ""count"": 1}, {""action"": ""reportVersion"", ""type"": ""ota"", ""state"": ""report-success"", ""count"": 1}, {""action"": ""bindQuery"", ""type"": ""user"", ""state"": ""done"", ""count"": 1}, {""action"": ""cloudRecommendList"", ""type"": ""file"", ""state"": ""done"", ""count"": 1}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""busy"": 3, ""free"": 24}","[{""taskid"": ""88925268"", ""progress"": 0}, {""taskid"": ""88925268"", ""progress"": 77}, {""taskid"": ""88925268"", ""progress"": 100}]",24,"{""status"": 0, ""times"": 53, ""layers"": 16625}","{""status"": 0, ""times"": 54, ""layers"": 18602}","[""88925268""]",[],[]
88925268,B5-v2.pwsz,preheating,2026-04-29T11:37:18.893,88946284,E4-E7.pwsz,printing,2026-04-29T13:50:53.543,17,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 6}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 4}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 4}, {""action"": ""autoOperation"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}]","{""busy"": 6, ""free"": 4}",[],4,"{""status"": 0, ""times"": 55, ""layers"": 19685}","{""status"": 0, ""times"": 55, ""layers"": 19685}","[""88946284""]","[""88925268""]",[]
88946284,E4-E7.pwsz,printing,2026-04-29T15:54:33.082,88997191,C2-C3-C4-C5-C7.pwsz,printing,2026-04-29T18:00:25.172,874,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 429}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 429}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 2}, {""action"": ""onlineReport"", ""type"": ""lastWill"", ""state"": ""offline"", ""count"": 2}, {""action"": ""onlineReport"", ""type"": ""lastWill"", ""state"": ""online"", ""count"": 2}, {""action"": ""reportVersion"", ""type"": ""ota"", ""state"": ""report-success"", ""count"": 2}, {""action"": ""bindQuery"", ""type"": ""user"", ""state"": ""done"", ""count"": 2}, {""action"": ""cloudRecommendList"", ""type"": ""file"", ""state"": ""done"", ""count"": 2}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 2}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""busy"": 2, ""free"": 429}","[{""taskid"": ""88997191"", ""progress"": 0}, {""taskid"": ""88997191"", ""progress"": 100}]",429,"{""status"": 0, ""times"": 56, ""layers"": 21676}","{""status"": 0, ""times"": 56, ""layers"": 21676}","[""88997191""]",[],[]
88997191,C2-C3-C4-C5-C7.pwsz,finished,2026-04-29T19:13:11.317,89034769,D3-D4-D5-C6-E1-E5.pwsz,printing,2026-04-29T20:42:34.761,579,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 283}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 283}, {""action"": ""move"", ""type"": ""axis"", ""state"": ""done"", ""count"": 5}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 4}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 2}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""free"": 283, ""busy"": 2}","[{""taskid"": ""89034769"", ""progress"": 0}, {""taskid"": ""89034769"", ""progress"": 24}, {""taskid"": ""89034769"", ""progress"": 77}, {""taskid"": ""89034769"", ""progress"": 100}]",283,"{""status"": 0, ""times"": 56, ""layers"": 21676}","{""status"": 0, ""times"": 57, ""layers"": 22555}","[""89034769""]",[],[]
89034769,D3-D4-D5-C6-E1-E5.pwsz,printing,2026-04-29T21:40:01.893,89158716,B7-D4-D5.pwsz,printing,2026-04-30T12:29:33.466,16,"[{""action"": ""workReport"", ""type"": ""status"", ""state"": ""busy"", ""count"": 4}, {""action"": ""workReport"", ""type"": ""status"", ""state"": ""free"", ""count"": 4}, {""action"": ""get"", ""type"": ""releaseFilm"", ""state"": ""done"", ""count"": 4}, {""action"": ""update"", ""type"": ""print"", ""state"": ""downloading"", ""count"": 2}, {""action"": ""monitor"", ""type"": ""print"", ""state"": ""monitoring"", ""count"": 1}, {""action"": ""reportStatus"", ""type"": ""autoOperation"", ""state"": ""done"", ""count"": 1}]","{""busy"": 4, ""free"": 4}","[{""taskid"": ""89158716"", ""progress"": 0}, {""taskid"": ""89158716"", ""progress"": 100}]",4,"{""status"": 0, ""times"": 58, ""layers"": 23765}","{""status"": 0, ""times"": 58, ""layers"": 23765}","[""89158716""]",[],[]
